painting,paintingLabel,height,width,creationYear,countryLabel,materialLabel,authorLabel
http://www.wikidata.org/entity/Q1117094,Терновый венец,1270,1655,1602,Австрия,холст,Караваджо
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,283,1484,Италия,fresco,Сандро Боттичелли
http://www.wikidata.org/entity/Q1061035,Вероломство образов,60.3,81.12,1929,США,масляные краски,Рене Магритт
http://www.wikidata.org/entity/Q1115613,Мадонна на лугу,67.3,86.4,1500,Великобритания,масляные краски,Джованни Беллини
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,284,1484,Италия,fresco,Сандро Боттичелли
http://www.wikidata.org/entity/Q1115613,Мадонна на лугу,67.3,86.4,1500,Великобритания,панель,Джованни Беллини
http://www.wikidata.org/entity/Q1061035,Вероломство образов,60.3,81.12,1929,США,холст,Рене Магритт
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,283,1484,Италия,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,283,1484,Италия,штукатурка,Сандро Боттичелли
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,284,1484,Италия,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,284,1484,Италия,штукатурка,Сандро Боттичелли
http://www.wikidata.org/entity/Q1112863,Мадонна Альдобрандини (картина Тициана),100.6,142.2,1532,Великобритания,масляные краски,Тициан
http://www.wikidata.org/entity/Q1112863,Мадонна Альдобрандини (картина Тициана),100.6,142.2,1532,Великобритания,холст,Тициан
http://www.wikidata.org/entity/Q1115382,Behind the House,60.6,46,1917,Армения,картон,Марк Захарович Шагал
http://www.wikidata.org/entity/Q1112111,Portrait of a Young Fürleger with Loose Hair,56,43,1497,Германия,холст,Альбрехт Дюрер
http://www.wikidata.org/entity/Q1111232,Мадонна с младенцем,69,49,1450,Италия,панель,Якопо Беллини
http://www.wikidata.org/entity/Q1119782,The Disputation with Simon Magus and the Crucifixion of Peter,230,598,1481,Италия,fresco,Филиппино Липпи
http://www.wikidata.org/entity/Q1111232,Мадонна с младенцем,69,49,1450,Италия,темпера,Якопо Беллини
http://www.wikidata.org/entity/Q1122537,"Юпитер, Нептун и Плутон (Караваджо)",300,180,1599,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q1055111,Мадонна с младенцем,95,62,1460,Италия,панель,Филиппо Липпи
http://www.wikidata.org/entity/Q1115382,Behind the House,60.6,46,1917,Армения,масляные краски,Марк Захарович Шагал
http://www.wikidata.org/entity/Q1055111,Мадонна с младенцем,95,62,1460,Италия,темпера,Филиппо Липпи
http://www.wikidata.org/entity/Q1122842,Сорока на виселице,45.9,51,1568,Германия,масляные краски,Питер Брейгель Старший
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,283,1484,Франция,intonaco,Сандро Боттичелли
http://www.wikidata.org/entity/Q1122842,Сорока на виселице,45.9,51,1568,Германия,панель,Питер Брейгель Старший
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,284,1484,Франция,intonaco,Сандро Боттичелли
http://www.wikidata.org/entity/Q1119782,The Disputation with Simon Magus and the Crucifixion of Peter,230,598,1481,Италия,штукатурка,Филиппино Липпи
http://www.wikidata.org/entity/Q1113938,Идеальный город,67.7,239.4,1480,Италия,масляные краски,http://www.wikidata.org/.well-known/genid/486f0a2491687ded10a86b6481f87a79
http://www.wikidata.org/entity/Q1113938,Идеальный город,67.7,239.4,1480,Италия,панель,http://www.wikidata.org/.well-known/genid/486f0a2491687ded10a86b6481f87a79
http://www.wikidata.org/entity/Q883994,Вид Толедо (картина Эль Греко),121.3,108.6,1596,Испания,масляные краски,Эль Греко
http://www.wikidata.org/entity/Q941549,Лягушатник,74.6,99.7,1869,Нью-Йорк,масляные краски,Клод Моне
http://www.wikidata.org/entity/Q883994,Вид Толедо (картина Эль Греко),121.3,108.6,1596,Испания,холст,Эль Греко
http://www.wikidata.org/entity/Q941549,Лягушатник,74.6,99.7,1869,Нью-Йорк,холст,Клод Моне
